body parts/duck/a2/body.png 36 54 head:32,0 hipL:13,38 hipR:13,38 shL:22,24 shR:22,24
head parts/duck/a2/head.png 43 45 neck:22,21
thighL parts/duck/a2/thighL.png 21 27 start:6,7 end:16,23
shinL parts/duck/a2/shinL.png 16 23 start:10,4 end:8,22
footL parts/duck/a2/footL.png 28 10 start:7,3 end:26,9
thighR parts/duck/a2/thighR.png 21 26 start:6,6 end:17,23
shinR parts/duck/a2/shinR.png 15 23 start:10,5 end:8,22
footR parts/duck/a2/footR.png 27 10 start:7,4 end:26,9
uarmL parts/duck/a2/uarmL.png 22 23 start:10,2 end:14,12
farmL parts/duck/a2/farmL.png 48 25 start:6,2 end:23,7
uarmR parts/duck/a2/uarmR.png 22 23 start:10,2 end:13,12
farmR parts/duck/a2/farmR.png 48 25 start:6,3 end:21,7
