# norn rig — sprite-part compositor; coords: normalized (fraction of sprite w/h)
meta groundOffset=0.0980 walkStride=0.4920 pickupReachX=0.2920
part body sprite=body parent=- anchor=0.0600,0.0600 pivot=0.0020,0.0040 rest=0.0000 z=0
part uarmL sprite=uarmL parent=body anchor=0.5760,0.2820 pivot=0.7480,0.2620 rest=0.0000 z=-6
part farmL sprite=farmL parent=uarmL anchor=0.3700,0.7640 pivot=0.8040,0.1120 rest=0.0000 z=-8
part thighL sprite=thighL parent=body anchor=0.1700,0.3220 pivot=0.7900,0.1520 rest=0.0000 z=-4
part shinL sprite=shinL parent=thighL anchor=0.0800,0.6460 pivot=0.5740,0.3980 rest=0.0000 z=-4
part footL sprite=footL parent=shinL anchor=0.0700,0.4800 pivot=0.3600,0.3080 rest=0.0000 z=-6
part head sprite=head parent=body anchor=0.6880,0.0180 pivot=0.2860,0.6700 rest=0.0000 z=7
part uarmR sprite=uarmR parent=body anchor=0.5760,0.2820 pivot=0.7480,0.2620 rest=0.0000 z=6
part farmR sprite=farmR parent=uarmR anchor=0.3700,0.7640 pivot=0.8040,0.1120 rest=0.0000 z=8
part thighR sprite=thighR parent=body anchor=0.1700,0.3220 pivot=0.7900,0.1520 rest=0.0000 z=4
part shinR sprite=shinR parent=thighR anchor=0.0800,0.6460 pivot=0.5740,0.3980 rest=0.0000 z=4
part footR sprite=footR parent=shinR anchor=0.0700,0.4800 pivot=0.3600,0.3080 rest=0.0000 z=6
anim body PICK_UP bias=0.0075 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim body EAT bias=0.0075 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim uarmL WALK bias=-0.8859 amp=0.6032 freq=1.0000 phase=7.7597 sign=-1.0000
anim uarmL PICK_UP bias=-0.1847 amp=0.6333 freq=1.0000 phase=1.5645 sign=-1.0000
anim uarmL COURT bias=0.0000 amp=0.3500 freq=1.0000 phase=0.0000 sign=-1.0000
anim uarmL REST bias=-0.7238 amp=0.0377 freq=1.0000 phase=3.1416 sign=1.0000
anim uarmL EAT bias=-0.6333 amp=0.0603 freq=0.7500 phase=4.2726 sign=1.0000
anim farmL WALK bias=-1.0367 amp=0.4317 freq=1.0000 phase=4.2097 sign=-1.0000
anim farmL PICK_UP bias=0.0075 amp=0.9387 freq=1.0000 phase=1.5394 sign=1.0000
anim farmL REST bias=-0.7955 amp=0.0452 freq=1.0000 phase=3.1416 sign=-1.0000
anim farmL EAT bias=0.0075 amp=0.0603 freq=0.2500 phase=4.2726 sign=1.0000
anim thighL WALK bias=-1.1536 amp=0.4090 freq=1.0000 phase=6.2832 sign=1.0000
anim thighL PICK_UP bias=-1.0669 amp=0.1414 freq=1.0000 phase=1.5394 sign=-1.0000
anim thighL REST bias=-1.6475 amp=0.0000 freq=1.0000 phase=3.1416 sign=1.0000
anim thighL EAT bias=-1.1084 amp=0.0151 freq=0.7500 phase=0.0000 sign=1.0000
anim shinL WALK bias=1.0367 amp=0.4694 freq=1.0000 phase=6.6162 sign=-1.0000
anim shinL PICK_UP bias=0.9462 amp=0.6032 freq=1.0000 phase=4.7061 sign=-1.0000
anim shinL REST bias=1.8850 amp=0.0000 freq=1.0000 phase=3.1416 sign=1.0000
anim shinL EAT bias=0.0000 amp=0.0151 freq=0.7500 phase=6.2706 sign=1.0000
anim footL WALK bias=1.8850 amp=0.1338 freq=1.0000 phase=7.1880 sign=1.0000
anim footL PICK_UP bias=0.0528 amp=0.5504 freq=1.0000 phase=1.5896 sign=1.0000
anim footL REST bias=1.4967 amp=0.0377 freq=0.7500 phase=5.3784 sign=1.0000
