body parts/daffodil/a0/body.png 40 21 head:39,1 hipL:10,8 hipR:10,8 shL:22,7 shR:22,7
head parts/daffodil/a0/head.png 46 39 neck:20,21
thighL parts/daffodil/a0/thighL.png 15 18 start:9,4 end:2,15
shinL parts/daffodil/a0/shinL.png 16 12 start:12,5 end:0,6
footL parts/daffodil/a0/footL.png 15 14 start:5,3 end:14,13
thighR parts/daffodil/a0/thighR.png 15 17 start:10,3 end:3,14
shinR parts/daffodil/a0/shinR.png 17 12 start:13,5 end:1,6
footR parts/daffodil/a0/footR.png 15 15 start:5,4 end:14,14
uarmL parts/daffodil/a0/uarmL.png 11 13 start:8,3 end:2,9
farmL parts/daffodil/a0/farmL.png 11 21 start:7,2 end:4,15
uarmR parts/daffodil/a0/uarmR.png 12 13 start:9,3 end:3,10
farmR parts/daffodil/a0/farmR.png 10 22 start:7,2 end:4,16
